title,price,category,condition,material,description,url,combined_text,furniture_type,is_sofa,is_bed,is_table,is_chair,material_quality,material_type,length,width,height,volume,seating_capacity,is_new,is_used,condition_score,has_brand,is_imported,is_handmade,is_antique,is_modern,with_cushions,has_warranty,size_score,material_score,style_score,completeness_score,quality_score,capacity_score,price_per_volume,type_material_score
chairs,12000.0,Furniture,New,,Description 4 piece wooden chairs,https://www.olx.com.pk/item/chairs-iid-1105436247,chairs Description 4 piece wooden chairs,4,0,0,0,1,3,1,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,7,0,0,12,0.0,12000.0,28
5 seater sofa set for sale,25000.0,Sofa,Used,,Description 5 seater sofa set is for sale .,https://www.olx.com.pk/item/5-seater-sofa-set-for-sale-iid-1105436249,5 seater sofa set for sale Description 5 seater sofa set is for sale .,1,1,0,0,0,2,0,26.0,20.0,0.0,0.0,5.0,0,0,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,25000.0,4
2 door almari almirah cupboard,11000.0,Furniture,Used,,Description 2 door almari in used condition is good,https://www.olx.com.pk/item/2-door-almari-almirah-cupboard-iid-1105436292,2 door almari almirah cupboard Description 2 door almari in used condition is good,0,0,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,1,7,0,0,0,0,0,0,0,0.0,4,0,0,11,0.0,11000.0,0
furniture patex complete bedroom set,50000.0,Bed,Used,Wood,Description complete bedroom set hai use Mai Jo 2 Saal pahla Liya tha chota mota Kam hai Baki sub set hai jis na Bhi Lana ho rabta karay  (View phone number),https://www.olx.com.pk/item/furniture-patex-complete-bedroom-set-iid-1105436299,furniture patex complete bedroom set Description complete bedroom set hai use Mai Jo 2 Saal pahla Liya tha chota mota Kam hai Baki sub set hai jis na Bhi Lana ho rabta karay  (View phone number),2,0,1,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,50000.0,8
Double pressed  fiber iron brand new shade for window,7000.0,Furniture,New,,"Description Brand new Double pressed iron fiber shade with beautiful floral print
Size length 3.5 wirth 2.5",https://www.olx.com.pk/item/double-pressed-fiber-iron-brand-new-shade-for-window-iid-1101718411,"Double pressed  fiber iron brand new shade for window Description Brand new Double pressed iron fiber shade with beautiful floral print
Size length 3.5 wirth 2.5",0,0,0,0,0,3,4,26.0,20.0,0.0,0.0,0.0,1,0,10,0,0,0,0,0,0,0,0.0,10,0,0,20,0.0,7000.0,0
Bad and Almari,15000.0,Bed,Used,Wood,Description new ha 1 year used ha condition bilkul saf ha reply ap ko call ya Whatsapp pr Mily ga  (Chat with seller),https://www.olx.com.pk/item/bad-and-almari-iid-1105436338,Bad and Almari Description new ha 1 year used ha condition bilkul saf ha reply ap ko call ya Whatsapp pr Mily ga  (Chat with seller),0,0,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,1,1,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,15000.0,0
tensile sheds/tensile conopy/fiber sheds/tensile shade/policabnat shed,55000.0,Furniture,New,,"Description Available for delivery and installation across Islamabad & Rawalpindi and surrounding areas. Transform your space with our reliable and stylish fiberglass and tensile sheds

>Car parking Shades

>Swimming Pool Shades

>Fiber Shades

>Tensile Shades

>Car Shades

we deal all king of sheds ,tensile sheds , fiber glass sheds 

*Quality will be no compromised roving last & complete work out excellent processing multi resin completely fibre glass manufacture custom made. 

For more details click on my profile
call / sms / inbox and whats app
Contact:
(0/3/3/1/5/1/2/2/2/2/4}",https://www.olx.com.pk/item/tensile-shedstensile-conopyfiber-shedstensile-shadepolicabnat-shed-iid-1103554130,"tensile sheds/tensile conopy/fiber sheds/tensile shade/policabnat shed Description Available for delivery and installation across Islamabad & Rawalpindi and surrounding areas. Transform your space with our reliable and stylish fiberglass and tensile sheds

>Car parking Shades

>Swimming Pool Shades

>Fiber Shades

>Tensile Shades

>Car Shades

we deal all king of sheds ,tensile sheds , fiber glass sheds 

*Quality will be no compromised roving last & complete work out excellent processing multi resin completely fibre glass manufacture custom made. 

For more details click on my profile
call / sms / inbox and whats app
Contact:
(0/3/3/1/5/1/2/2/2/2/4}",0,0,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,9,0,0,0,0,0,0,0,0.0,4,0,0,13,0.0,55000.0,0
Painting on Canvas.,4000.0,Furniture,New,,"Description Acrylics on canvas size 2 ft x 3ft. 
for wall hangings new painting.",https://www.olx.com.pk/item/painting-on-canvas-iid-1105435732,"Painting on Canvas. Description Acrylics on canvas size 2 ft x 3ft. 
for wall hangings new painting.",0,0,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,1,0,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,4000.0,0
Furniture Not Used,95000.0,Bed,New,Iron,"Description Bilkul New Hain Sub
Bad With Dressing With Drows",https://www.olx.com.pk/item/furniture-not-used-iid-1105435761,"Furniture Not Used Description Bilkul New Hain Sub
Bad With Dressing With Drows",0,0,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,1,1,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,95000.0,0
Dining table,25000.0,Furniture,Used,,Description Dining table with 6 chairs in good condition is for sale. Very cheap price.,https://www.olx.com.pk/item/dining-table-iid-1105435764,Dining table Description Dining table with 6 chairs in good condition is for sale. Very cheap price.,3,0,0,1,1,2,0,26.0,20.0,0.0,0.0,0.0,0,0,7,0,0,0,0,0,0,0,0.0,4,0,0,11,0.0,25000.0,12
sofa 7 seater,30000.0,Sofa,Used,,Description 7 seater sofa  neat and clean  only serious buyer contact,https://www.olx.com.pk/item/sofa-7-seater-iid-1104228247,sofa 7 seater Description 7 seater sofa  neat and clean  only serious buyer contact,1,1,0,0,0,2,0,26.0,20.0,0.0,0.0,7.0,0,0,7,0,0,0,0,0,0,0,0.0,4,0,0,11,0.0,30000.0,4
dressing table + 2 side table,8000.0,Furniture,Used,,Description dressing table+ 2 side drawers/tables. made of pure strong wood can be polished again. no sign of termites,https://www.olx.com.pk/item/dressing-table-2-side-table-iid-1105435814,dressing table + 2 side table Description dressing table+ 2 side drawers/tables. made of pure strong wood can be polished again. no sign of termites,3,0,0,1,0,3,1,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,7,0,0,12,0.0,8000.0,21
sofa set,35000.0,Sofa,Used,,Description full sofa set without tables,https://www.olx.com.pk/item/sofa-set-iid-1105435855,sofa set Description full sofa set without tables,1,1,0,1,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,35000.0,4
Two seater sofa setty with storage in the back,16000.0,Sofa,Used,,"Description Two seater sofa setty with storage in the back with two removable mattresses and removable and washable covers 

need to sale urgently",https://www.olx.com.pk/item/two-seater-sofa-setty-with-storage-in-the-back-iid-1105435858,"Two seater sofa setty with storage in the back Description Two seater sofa setty with storage in the back with two removable mattresses and removable and washable covers 

need to sale urgently",1,1,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,16000.0,4
High-End Table with Metal Frame – Modern & Durable,16000.0,Furniture,Used,,"Description Upgrade your workspace or home with this premium quality table, featuring a solid engineered wood top paired with a sleek black powder-coated metal frame. Built for durability and modern aesthetics, this table is ideal for both office and home use. 

 Size: Spacious enough for a comfortable workstation
Dimensions: L = 60, W = 32, H = 33 in Inches
 Top Material: Smooth-finish wood with a rich grain texture
 Frame: Heavy-duty metal with geometric design for enhanced stability
 Condition: Like new – used only for display
 Style: Industrial-modern with a minimalistic touch

Perfect for:
 Home office setups
 Study tables
 Creative studio desks
 Minimalist interiors

 Asking Price: PKR 15,000
 Location: Near Lake CIty

 DM or WhatsApp me on Zero Three Four Zero Six Zero Three Six One Zero Two  or call now for more details. Serious buyers only, please.",https://www.olx.com.pk/item/high-end-table-with-metal-frame-modern-durable-iid-1102709883,"High-End Table with Metal Frame – Modern & Durable Description Upgrade your workspace or home with this premium quality table, featuring a solid engineered wood top paired with a sleek black powder-coated metal frame. Built for durability and modern aesthetics, this table is ideal for both office and home use. 

 Size: Spacious enough for a comfortable workstation
Dimensions: L = 60, W = 32, H = 33 in Inches
 Top Material: Smooth-finish wood with a rich grain texture
 Frame: Heavy-duty metal with geometric design for enhanced stability
 Condition: Like new – used only for display
 Style: Industrial-modern with a minimalistic touch

Perfect for:
 Home office setups
 Study tables
 Creative studio desks
 Minimalist interiors

 Asking Price: PKR 15,000
 Location: Near Lake CIty

 DM or WhatsApp me on Zero Three Four Zero Six Zero Three Six One Zero Two  or call now for more details. Serious buyers only, please.",3,0,0,1,0,3,1,26.0,20.0,0.0,0.0,0.0,1,1,9,0,0,0,0,1,0,0,0.0,7,2,0,16,0.0,16000.0,21
3 door wardrobe,5000.0,Wardrobe,Used,,Description 3 door fix wardrobe  only,https://www.olx.com.pk/item/3-door-wardrobe-iid-1103041017,3 door wardrobe Description 3 door fix wardrobe  only,5,0,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,5000.0,20
Queen bed,18000.0,Bed,Used,Wood,"Description Queen size bed, strong and in good condition. If you are interested then contact  (View phone number)  and  (View phone number)",https://www.olx.com.pk/item/queen-bed-iid-1104582967,"Queen bed Description Queen size bed, strong and in good condition. If you are interested then contact  (View phone number)  and  (View phone number)",2,0,1,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,7,0,0,0,0,0,0,0,0.0,4,0,0,11,0.0,18000.0,8
theam VIP,35000.0,Furniture,Used,,Description one hand us VIP wood jhoula for seal,https://www.olx.com.pk/item/theam-vip-iid-1105435919,theam VIP Description one hand us VIP wood jhoula for seal,0,0,0,0,0,3,1,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,7,0,0,12,0.0,35000.0,0
"Double bed with side small tables dressing table, and dining table",25000.0,Bed,Used,Wood,Description Double bed side tables dressing table and swinging dining table with 4 chairs used old furniture,https://www.olx.com.pk/item/double-bed-with-side-small-tables-dressing-table-and-dining-table-iid-1105435925,"Double bed with side small tables dressing table, and dining table Description Double bed side tables dressing table and swinging dining table with 4 chairs used old furniture",2,0,1,1,1,2,0,26.0,20.0,0.0,0.0,0.0,0,1,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,25000.0,8
1- Seater Sofa,80000.0,Sofa,Used,,"Description 1-Seater Sofas – Good Condition

Selling 2 comfortable and stylish 1-seater sofas. Soft cushions, tufted backrest, and strong wooden legs. Perfect for living room, bedroom, or office. 

Condition: Used, well-maintained

Color: Cream with patterned design

Price: Reasonable & negotiable 

Grab them before they’re gone!",https://www.olx.com.pk/item/1-seater-sofa-iid-1105435941,"1- Seater Sofa Description 1-Seater Sofas – Good Condition

Selling 2 comfortable and stylish 1-seater sofas. Soft cushions, tufted backrest, and strong wooden legs. Perfect for living room, bedroom, or office. 

Condition: Used, well-maintained

Color: Cream with patterned design

Price: Reasonable & negotiable 

Grab them before they’re gone!",1,1,1,1,0,3,1,26.0,20.0,0.0,0.0,0.0,0,1,9,0,0,0,0,0,1,0,0.0,7,0,1,16,0.0,80000.0,7
Three seater sofa bed setty with two storage compartments,20000.0,Furniture,Used,,"Description Three seater sofa bed setty with two storage compartments, two removable mattresses and removable, washable covers 

need to sale urgently",https://www.olx.com.pk/item/three-seater-sofa-bed-setty-with-two-storage-compartments-iid-1105435957,"Three seater sofa bed setty with two storage compartments Description Three seater sofa bed setty with two storage compartments, two removable mattresses and removable, washable covers 

need to sale urgently",1,1,1,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,20000.0,4
Restaurant furniture/hotel table/dining table/chairs/Cafe furniture,15000.0,Furniture,New,,"Description We have been manufacturing since 2015. Restaurant, sofa, table, furniture in the Gujranwala. 

Key features:

1. 	Consider the concept and theme of the restaurant
2. 	Expert advice on how to adapt the furniture to the restaurant’s concept and theme
3. 	How choosing furniture to match the restaurant’s brand and style can enhance the overall customer experience
4. 	Prioritise comfort and durability
5. 	Look for versatility in furniture design
6. 	Optimise your restaurant space
7. 	Keeping up to date with furniture trends
8. 	Choosing the best materials for your restaurant furniture
9. 	Consider the budget
10. 	Pay attention to details
11. 	Final thoughts on the importance of selecting the best restaurant furniture
contact us
0/3/3/3/8/1/9/5/2/0/3",https://www.olx.com.pk/item/restaurant-furniturehotel-tabledining-tablechairscafe-furniture-iid-1004415083,"Restaurant furniture/hotel table/dining table/chairs/Cafe furniture Description We have been manufacturing since 2015. Restaurant, sofa, table, furniture in the Gujranwala. 

Key features:

1. 	Consider the concept and theme of the restaurant
2. 	Expert advice on how to adapt the furniture to the restaurant’s concept and theme
3. 	How choosing furniture to match the restaurant’s brand and style can enhance the overall customer experience
4. 	Prioritise comfort and durability
5. 	Look for versatility in furniture design
6. 	Optimise your restaurant space
7. 	Keeping up to date with furniture trends
8. 	Choosing the best materials for your restaurant furniture
9. 	Consider the budget
10. 	Pay attention to details
11. 	Final thoughts on the importance of selecting the best restaurant furniture
contact us
0/3/3/3/8/1/9/5/2/0/3",1,1,0,1,1,2,0,26.0,20.0,0.0,0.0,0.0,0,0,5,0,1,0,0,0,0,0,0.0,4,2,0,9,0.0,15000.0,4
Medicated Double Single spring mattress for sale / free home delivery,7500.0,Bed,New,Medicated,"Description We have all sizes mattressess available on very good rate

4 Inch single matress 8000
5 inch single matress 10000

We deal in 
=/ SIngle mattress
=/ Double mattress
=/ Spring Mattress
=/ Sofa gadi 
=/ Goal pilo
=/ pilo 

Shop location : Shop number 101, mandi stop main multan Road Lahore 
Contact us :03/20 - 6/53/48/77

Free home delivery in all over Lahore",https://www.olx.com.pk/item/medicated-double-single-spring-mattress-for-sale-free-home-delivery-iid-1102799170,"Medicated Double Single spring mattress for sale / free home delivery Description We have all sizes mattressess available on very good rate

4 Inch single matress 8000
5 inch single matress 10000

We deal in 
=/ SIngle mattress
=/ Double mattress
=/ Spring Mattress
=/ Sofa gadi 
=/ Goal pilo
=/ pilo 

Shop location : Shop number 101, mandi stop main multan Road Lahore 
Contact us :03/20 - 6/53/48/77

Free home delivery in all over Lahore",1,1,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,7,0,0,0,0,0,0,0,0.0,4,0,0,11,0.0,7500.0,4
Jaguard L shaped sofa,50000.0,Furniture,Used,,"Description L shaped sofa in very good condition. 

contact for any more details. pictures of sofa are orignal and uploaded
contact:  (View phone number)",https://www.olx.com.pk/item/jaguard-l-shaped-sofa-iid-1105435419,"Jaguard L shaped sofa Description L shaped sofa in very good condition. 

contact for any more details. pictures of sofa are orignal and uploaded
contact:  (View phone number)",1,1,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,7,0,0,0,0,0,0,0,0.0,4,0,0,11,0.0,50000.0,4
Bed set with two side tables and dressing table,65000.0,Bed,Used,Wood,"Description 8/10 
Without mattress
Two side tables
Dressing table",https://www.olx.com.pk/item/bed-set-with-two-side-tables-and-dressing-table-iid-1105435434,"Bed set with two side tables and dressing table Description 8/10 
Without mattress
Two side tables
Dressing table",2,0,1,1,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,8,0,0,0,0,0,0,0,0.0,4,0,0,12,0.0,65000.0,8
Five Seater Sofa for Sale. 03009569508,22000.0,Sofa,Used,,"Description One 3 Seater 
2 single Seater",https://www.olx.com.pk/item/five-seater-sofa-for-sale-03009569508-iid-1104161347,"Five Seater Sofa for Sale. 03009569508 Description One 3 Seater 
2 single Seater",1,1,0,0,0,2,0,26.0,20.0,0.0,0.0,3.0,0,0,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,22000.0,4
office chair,5000.0,Furniture,Used,,Description Very good condition.,https://www.olx.com.pk/item/office-chair-iid-1105435486,office chair Description Very good condition.,4,0,0,0,1,2,0,26.0,20.0,0.0,0.0,0.0,0,0,7,0,0,0,0,0,0,0,0.0,4,0,0,11,0.0,5000.0,16
8 seater dinning table,15000.0,Furniture,Used,,"Description 8 seater dinning table 
pure wood",https://www.olx.com.pk/item/8-seater-dinning-table-iid-1105435512,"8 seater dinning table Description 8 seater dinning table 
pure wood",3,0,0,1,0,3,1,26.0,20.0,0.0,0.0,8.0,0,0,5,0,0,0,0,0,0,0,0.0,7,0,0,12,0.0,15000.0,21
ALLAH DAKH RAHA HAI JO B BAAT HO GI HAQ SUCH HOGI,55000.0,Furniture,Used,,Description jahaiz ka saman hai compleat shokas . bad with said table safe almari lakri wali darassan table room sofa with sofa set other iron stand with all itam microwave automatic machine salie machine chine k bartan set patiya Yani pura saman hai munasab qeemat py mil jayga what's up per rabta kary ay AUR saman dakhy baat kary AUR ly jay,https://www.olx.com.pk/item/allah-dakh-raha-hai-jo-b-baat-ho-gi-haq-such-hogi-iid-1105435542,ALLAH DAKH RAHA HAI JO B BAAT HO GI HAQ SUCH HOGI Description jahaiz ka saman hai compleat shokas . bad with said table safe almari lakri wali darassan table room sofa with sofa set other iron stand with all itam microwave automatic machine salie machine chine k bartan set patiya Yani pura saman hai munasab qeemat py mil jayga what's up per rabta kary ay AUR saman dakhy baat kary AUR ly jay,1,1,0,1,0,3,4,26.0,20.0,0.0,0.0,0.0,0,0,5,0,0,0,0,0,0,0,0.0,10,0,0,15,0.0,55000.0,10
Carpet,7500.0,Furniture,Used,,"Description good condition 
length 12.5 feet
width 13 feet
Neat and clean",https://www.olx.com.pk/item/carpet-iid-1105435568,"Carpet Description good condition 
length 12.5 feet
width 13 feet
Neat and clean",0,0,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,7,0,0,0,0,0,0,0,0.0,4,0,0,11,0.0,7500.0,0
Sofa cum bed/Double cumbed/LShape/Combed/Double bed/Set/Foam Mattress,19990.0,Furniture,New,,"Description * All sofa cumbeds different prices. . . 

* After discount prices 19990 to 28500. . . 

* 15 years warranty with pure solid wooden structure. . . 

* Master Molty foam (Original with warranty card). . . 

* Orignal product Manufacture. . 

* All sofa Cum bed available in (stock ready). . . 

* Available in all colours to match any decor. . 

* Customize dimensions, Design , or Fabric upon request. . . 

* Best quality and finishing. . 

* We never compromise in quality. . . 

* for more details and information please contact us  0304/83/75/75/7

Jazakallah",https://www.olx.com.pk/item/sofa-cum-beddouble-cumbedlshapecombeddouble-bedsetfoam-mattress-iid-1105435612,"Sofa cum bed/Double cumbed/LShape/Combed/Double bed/Set/Foam Mattress Description * All sofa cumbeds different prices. . . 

* After discount prices 19990 to 28500. . . 

* 15 years warranty with pure solid wooden structure. . . 

* Master Molty foam (Original with warranty card). . . 

* Orignal product Manufacture. . 

* All sofa Cum bed available in (stock ready). . . 

* Available in all colours to match any decor. . 

* Customize dimensions, Design , or Fabric upon request. . . 

* Best quality and finishing. . 

* We never compromise in quality. . . 

* for more details and information please contact us  0304/83/75/75/7

Jazakallah",1,1,1,0,0,3,1,26.0,20.0,0.0,0.0,0.0,0,0,5,1,0,0,0,0,0,1,0.0,7,0,4,12,0.0,19990.0,7
Complete Furniture,65000.0,Bed,Used,Wood,"Description Bed Mattress Almari Side Tables Singhar maiz

Like New

 (Chat with seller)",https://www.olx.com.pk/item/complete-furniture-iid-1105435621,"Complete Furniture Description Bed Mattress Almari Side Tables Singhar maiz

Like New

 (Chat with seller)",2,0,1,1,0,2,0,26.0,20.0,0.0,0.0,0.0,1,0,5,0,0,0,0,0,0,0,0.0,4,0,0,9,0.0,65000.0,8
Multicolor LED light  Cash on dilevery all of Pakistan,1200.0,Furniture,Used,,"Description contact on WhatsApp  (View phone number) 
*Product Name*: Multicolor LED USB Light
*Product Description*: Transform Your Space With This Vibrant 16.4Ft (5M) Rgb Led Light Strip. Perfect For Creating A Colorful Atmosphere For Any Occasion, It Features A Usb Plug For Easy Power And A Remote For Customizable Lighting Options. 
*Product Details*:Material: PVC
Charging Ports: USB
Product Feature: Multicolor
Color: Multicolor
Package Includes: 1 x LED Light Strip, 1 x Remote Control
Length: 500 Cm
Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effect",https://www.olx.com.pk/item/multicolor-led-light-cash-on-dilevery-all-of-pakistan-iid-1105435624,"Multicolor LED light  Cash on dilevery all of Pakistan Description contact on WhatsApp  (View phone number) 
*Product Name*: Multicolor LED USB Light
*Product Description*: Transform Your Space With This Vibrant 16.4Ft (5M) Rgb Led Light Strip. Perfect For Creating A Colorful Atmosphere For Any Occasion, It Features A Usb Plug For Easy Power And A Remote For Customizable Lighting Options. 
*Product Details*:Material: PVC
Charging Ports: USB
Product Feature: Multicolor
Color: Multicolor
Package Includes: 1 x LED Light Strip, 1 x Remote Control
Length: 500 Cm
Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effect",0,0,0,0,0,2,0,26.0,20.0,0.0,0.0,0.0,0,0,9,0,0,0,0,0,0,0,0.0,4,0,0,13,0.0,1200.0,0
2 Seater Grey Sofa – Good Condition,18000.0,Sofa,Used,,"Description Selling my 2 seater grey sofa in good condition. Comfortable, simple, and fits well in small spaces. Hardly used and well kept.",https://www.olx.com.pk/item/2-seater-grey-sofa-good-condition-iid-1105435627,"2 Seater Grey Sofa – Good Condition Description Selling my 2 seater grey sofa in good condition. Comfortable, simple, and fits well in small spaces. Hardly used and well kept.",1,1,0,1,0,2,0,26.0,20.0,0.0,0.0,2.0,0,1,7,0,0,0,0,0,0,0,0.0,4,0,0,11,0.0,18000.0,4
