title,price,condition,processor_tier,processor_brand,processor_generation,ram,storage,storage_type_score,gpu_tier,has_dedicated_gpu,screen_size,is_fullhd,is_4k,is_2k,is_gaming,is_touchscreen,is_2in1,has_ssd,has_hdd,battery_wh,is_new,is_used,condition_score,has_warranty,brand_premium,model_year,has_backlit
"FUJITSU CORE I5 8TH GEN Gulberg, Lahore•3 weeks ago Call Chat",32999,Used,3,1,8,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0
"warranty 90 days I 5 second generation Allahwala Town, Karachi•13 hours ago Call Chat",18000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,13.0,0,0,5,1,1,,0
"Lenovo Legion Pro 5|1 Year Warranty|32 GB RAM |1 TB SSD|8GB RTX 5070 Scheme 33, Karachi•5 days ago Chat",6000,Used,2,0,0,32.0,1024.0,2,3,1,15.6,0,0,0,0,0,0,1,0,,0,0,5,1,3,,0
"Lenovo ThinkBook 15-IIL Core i5-10 | 16 Gb | 256 ssd Burma Town, Islamabad•3 days ago Call Chat",80000,Used,3,1,0,,,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Dell Latitude 7390 2-in-1 (Touch Screen) for Sale | Clean Condition Khalid Bin Walid Road, Karachi•13 hours ago Call Chat",55000,Good,2,0,0,,,0,0,0,15.6,0,0,0,0,1,1,0,0,13.0,0,0,7,0,3,,0
"HP Probook 445G7 Ryzen 7 4700U = i7 11th Gen 16GB RAM 256GB SSD ! Saddar, Rawalpindi•1 week ago Call Chat",76900,Used,4,1,11,16.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Lenovo L14 core i5 11th gen G7 8gb ram 256gb ssd Sabzazar, Lahore•2 weeks ago Call Chat",53000,Used,3,1,11,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Laptops for sale Cantt, Multan•12 hours ago Call Chat",35000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,12.0,0,0,5,0,1,,0
"Lenovo chromebook | touchscreen | chrome OS laptop | 360° Flip | 32GB Scheme 33, Karachi•3 weeks ago Call Chat",14500,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,1,0,0,0,,0,0,5,0,3,,0
"Dell Precision 5520 | Core i5 7th Gen | 16GB RAM | 256GB SSD Saddar, Lahore•4 days ago Call Chat",94000,Used,3,1,7,16.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"HP ZBook 15 G2 Laptop |i7 4th Gen| 8/256 GB | 1GB Graphic Card Johar Town, Lahore•4 weeks ago Call Chat",32999,Used,4,1,4,,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"HP core i7 4th generation laptop 8gb ram 500gb Rom camera wifi DVD Blue Area, Islamabad•4 weeks ago Call Chat",31500,Used,4,1,4,8.0,500.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Lenovo T480 i7 8th Gen 8GB RAM 256GB SSD FHD Backlite Keyboard ! Saddar, Rawalpindi•1 week ago Call Chat",60900,Used,4,1,8,8.0,256.0,2,0,0,15.6,1,0,0,0,0,0,1,0,,0,0,5,0,3,,1
"HP Probook 445G7 Ryzen 7 4700U = i7 11th Gen 16GB RAM 256GB SSD ! Saddar, Rawalpindi•1 week ago Call Chat",76900,Used,4,1,11,16.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Hp Pro book 430 G7 8 GB Ram 256 GB SSD Core i5 10th Generation Gulshan-e-Iqbal Town, Karachi•1 week ago Call Chat",59500,Used,3,1,10,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"laptop | HP ProBook 650 G8 | core i5/8th Gen | 8gb RAM/256GB SSD Malir, Karachi•3 weeks ago Call Chat",80999,Used,3,1,8,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Acer Aspire ES1-523-231L Laptop for Sale | 4GB RAM | 1TB HDD Johar Town, Lahore•4 days ago Call Chat",17500,Used,2,0,0,4.0,1024.0,1,0,0,15.6,0,0,0,0,0,0,0,1,,0,0,5,0,2,,0
"HP EliteBook 850 G7 i5 10th Gen | 16GB RAM Wapda Town Phase 2, Lahore•3 weeks ago Call Chat",97999,Used,3,1,10,16.0,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Lenovo Yoga Book 9 14IAH10 Dual OLED Core Ultra 9 32GB/1TB (2025) PECHS, Karachi•4 days ago Call Chat",7000,Used,2,0,0,,1024.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,2025.0,0
"6th Gen slim fast Ci5 8gb 256gb m2 ssd 360 Touch screen 2k 1080p Khayaban-e-Naveed, Sargodha•1 week ago Call Chat",34000,Used,5,3,13,,,2,0,0,15.6,1,0,1,0,1,0,1,0,,0,0,5,0,1,,0
"HP ZBook 15 G2 Laptop |i7 4th Gen| 8/256 GB | 1GB Graphic Card Johar Town, Lahore•4 weeks ago Call Chat",32999,Used,4,1,4,,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Lenovo V15 Ryzen 5 3500U 8GB RAM 256GB SSD 2GB Graphics Card ! Saddar, Rawalpindi•1 week ago Call Chat",52900,Used,3,2,0,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"MacBook Air 2015 4gb ram 128gb ssd D Ground, Faisalabad•6 days ago Call Chat",55000,Used,2,0,0,4.0,128.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,5,2015.0,0
"Lenovo Thinkpad x260 i5 6th Generation 8gb Ram 256gb SSD 12.5"" Display Bahria Town Main Boulevard, Lahore•3 weeks ago Call Chat",32999,Used,3,1,6,8.0,256.0,2,0,0,12.5,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Hp Pro book 430 G7 8 GB Ram 256 GB SSD Core i5 10th Generation Gulshan-e-Iqbal Town, Karachi•1 week ago Call Chat",59500,Used,3,1,10,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Asus Core i5 - 11th generation Manzoor Colony, Karachi•2 days ago Call Chat",67000,Used,3,1,11,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"HP PROBOOK 6460b | core i5/2nd Gen | 6470b | i5/3rd Gen | Gen A+ stock Saddar, Karachi•4 weeks ago Call Chat",18000,Used,3,1,2,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Hp Elitebook core i5 6th gen 8GB ram / 256Gb SSD Gulshan-e-Iqbal, Karachi•3 weeks ago Call Chat",42500,Used,3,1,6,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Dell Latitude 5420 | Core i5- 11th gen | 16/256 SSD Ferozepur Road, Lahore•3 weeks ago Call Chat",69000,Used,3,1,11,,,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"DELL LATITUDE 5400 core i5 8th Gen, 8GB 256GB fresh stock @ pc world Saddar, Karachi•3 weeks ago Call Chat",48000,New,3,1,8,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Dell Latitude 5300 Touchscreen Rifah Aam, Karachi•2 days ago Chat",65000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,1,0,0,0,,0,0,5,0,3,,0
"hp laptop | Notebook 255 G7 | AMD Athlon Silver | 8/256GB Johar Town, Lahore•2 weeks ago Call Chat",38000,Used,2,0,0,,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Dell Chromebook With windows 10 Lite 4-16 Main Boulevard Gulberg, Lahore•1 week ago Call Chat",9999,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Hp elitebook 850 G5/G6 Lake City, Lahore•1 week ago Call Chat",67000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Apple MacBook Pro 2014 Core i5 | 8GB / 128GB SSD fresh stock available 9th Avenue, Islamabad•4 weeks ago Call Chat",51000,New,3,1,0,,128.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,5,,0
"Dell Laptop Chromebook Window 10 Urgent Sale with Warranty, Quaid-e-Azam Colony, Rawalpindi•3 days ago Call Chat",7200,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,1,3,,0
"Laptop/ Lenovo Thinkpad T580 T450 T14 E480 T480 T470 T470s 330s Saddar, Karachi•4 weeks ago Call Chat",30000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Lenovo Legion Pro 7i Gaming Laptop 275HX - RTX5070 | 32/aTB BOX PACK Defence Road, Lahore•2 weeks ago Call Chat",8000,Used,2,0,0,,,0,3,1,15.6,0,0,0,1,0,0,0,0,,0,0,5,0,3,,0
"Macbook pro 2017 D Ground, Faisalabad•3 weeks ago Call Chat",70000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,5,2017.0,0
"Laptop plus tablet / branded Asus 2 in 1 tablet plus laptop DHA Phase 5, Karachi•2 weeks ago Call Chat",35000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,1,0,0,,0,0,5,0,3,,0
"Dell Latitude 7390 2-in-1 (Touch Screen) for Sale | Clean Condition Khalid Bin Walid Road, Karachi•13 hours ago Call Chat",55000,Good,2,0,0,,,0,0,0,15.6,0,0,0,0,1,1,0,0,13.0,0,0,7,0,3,,0
"Dell Latitude 3390 Touch 360 i5 8th Gen 8GB RAM 256GB SSD 2 in 1 Touch Saddar, Rawalpindi•2 weeks ago Call Chat",53500,Used,3,1,8,8.0,256.0,2,0,0,15.6,0,0,0,0,1,1,1,0,,0,0,5,0,3,,0
"Dell Touch 360 Cromebook 2029 Update. . 4GB//32GB. . Type C . . A+ Condition Mandian, Abbottabad•2 weeks ago Call Chat",19999,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,1,0,0,0,,0,0,5,0,3,,0
"Laptops Graphic | Gen 4th, 6th, 7th, 8th, 10th | Core i5, i7 Allama Iqbal Road, Lahore•3 weeks ago Call Chat",38999,Used,4,1,4,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0
"hp elitebook g8 830 - core i5 11th generations- 100% original imported Gulzar Colony, Gujranwala•2 weeks ago Call Chat",77999,Used,3,1,11,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"hp elitebook g8 830 - core i5 11th generations- 100% original imported Gulzar Colony, Gujranwala•2 weeks ago Call Chat",77999,Used,3,1,11,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Dell Core i5 10th Gen Generation Laptops. Better Than Hp F-7 Markaz, Islamabad•14 hours ago Call Chat",52000,Used,3,1,10,,,0,0,0,15.6,0,0,0,0,0,0,0,0,14.0,0,0,5,0,3,,0
"laptop | HP EliteBook 830 G6 | core i5/8th Gen | 8gb RAM/256GB SSD Jamshed Town, Karachi•4 weeks ago Call Chat",53999,Used,3,1,8,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Dell latitude e6420/e6430 | Core i5/2nd gen/3rd gen | fresh stock Saddar, Karachi•3 weeks ago Call Chat",18000,New,3,1,2,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"dell latitude | core i5 4th gen | 8gb ram | 128gb | laptop | laptops Gulshan-e-Iqbal Town, Karachi•14 hours ago Call Chat",35000,Used,3,1,4,8.0,128.0,0,0,0,15.6,0,0,0,0,0,0,0,0,14.0,0,0,5,0,3,,0
"Macbook Pro 2019 D Ground, Faisalabad•3 weeks ago Call Chat",90000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,5,2019.0,0
"HP Core i7 4th Gen Business Laptop Gulberg 1, Lahore•2 days ago Chat",39000,Used,4,1,4,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"HP EliteBook x360 Core i5 7th Gen | 8GB RAM | 512GB SSD | Touchscreen Allama Iqbal Town, Lahore•3 days ago Call Chat",75000,Used,3,1,7,8.0,512.0,2,0,0,15.6,0,0,0,0,1,0,1,0,,0,0,5,0,3,,0
"Microsoft Surface Laptop 3 | 10th Gen i5 | 8GB | 256GB | Model Town, Lahore•6 days ago Call Chat",69999,Used,3,1,10,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0
"Lenovo ThinkPad T14s Gen2 Ryzen 5pro 2GB Dedicated Graphics Dedicated Gulberg 3, Lahore•2 weeks ago Call Chat",86000,Used,3,2,2,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Microsoft Surface Laptop Go Quaid-e-Azam Interchange, Lahore•5 days ago Chat",75000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0
"Lenovo ThinkPad Yoga 11e 6th Gen | Touchscreen 2-in-1 Laptop stock Chaklala Scheme, Rawalpindi•4 weeks ago Call Chat",24000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,1,1,0,0,,0,0,5,0,3,,0
"HP Elitebook 840 G6--Touchscreen!slim!Premium bussiness Series Model Town Link Road, Lahore•2 weeks ago Call Chat",68000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,1,0,0,0,,0,0,5,0,3,,0
"Hp EliteBook 840 G8 Murree Road, Rawalpindi•1 day ago Call Chat",85000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Laptops Graphic | Gen 4th, 6th, 7th, 8th, 10th | Core i5, i7 Allama Iqbal Road, Lahore•3 weeks ago Call Chat",38999,Used,4,1,4,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0
"Hp Core I five laptop, A 1 Condition, warranty 15 days Murree Road, Rawalpindi•11 hours ago Call Chat",15000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,11.0,0,0,5,1,3,,0
"1.6 GHz Dual-Core Intel Core i5 Intel UHD Graphics 617 1536 MB Cantt, Karachi•1 week ago Call Chat",80000,Used,3,1,0,,,0,1,0,15.6,0,1,0,0,0,0,0,0,,0,0,5,0,1,,0
"HP EliteBook 840 G3 Core i5 16GB RAM 128GB SSD Gulberg Greens, Islamabad•1 day ago Call Chat",55999,Used,3,1,0,16.0,128.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Microsoft surface pro 7 Bahria Town - Sector E, Lahore•3 weeks ago Call Chat",68000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0
"Dell Latitude 7200 2in1 | i5-8th | COD All over Pakistan D Ground, Faisalabad•3 hours ago Call Chat",45000,Used,3,1,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,3.0,0,0,5,0,3,,0
"Lenovo Laptops Ideapad i5 10/11/12 generation Gulshan-e-Iqbal Town, Karachi•3 weeks ago Call Chat",74000,Used,3,1,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"HP Elite 1013 g3 core i5 8th gen 8gb ram 256gb ssd Laptop Samanabad, Lahore•2 weeks ago Call Chat",48000,Used,3,1,8,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"HP probook 450 g7 – core i5 10th gen | 16gb ram | 256gb SSD | pro book Shah Faisal Town, Karachi•2 weeks ago Call Chat",75000,Used,3,1,10,16.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Acer predator helios neo 16S AI RTX 5070Ti core ultra 9 275hx 16” oled Model Town Link Road, Lahore•1 week ago Call Chat",6000,Used,2,0,0,,,0,3,1,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,2,,0
"Brand New MacBook pro M4 24/1tb (2025 Model) Gulshan-e-Iqbal, Karachi•3 weeks ago Call Chat",6000,New,2,0,0,,1024.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,1,0,10,0,5,2025.0,0
"Mix Laptops (i5 / i7 / Ryzen) | Excellent Condition | D Ground, Faisalabad•6 days ago Call Chat",30000,Excellent,4,1,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,9,0,1,,0
"HP Elitebook 840 G6--Touchscreen!slim!Premium bussiness Series Model Town Link Road, Lahore•2 weeks ago Call Chat",68000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,1,0,0,0,,0,0,5,0,3,,0
"elitebook 850 g laptop Rawat, Islamabad•2 weeks ago Call Chat",85000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0
"DELL LATITUDE 5400 core i5 8th Gen, 8GB 256GB fresh stock @ pc world Saddar, Karachi•3 weeks ago Call Chat",48000,New,3,1,8,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"hp elitebook g8 830 - core i5 11th generations- 100% original imported Gulzar Colony, Gujranwala•2 weeks ago Call Chat",77999,Used,3,1,11,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"HP ENVY 17t i7- 6 generation Dastgir Colony, Karachi•12 hours ago Chat",60000,Used,4,1,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,12.0,0,0,5,0,3,,0
"laptop,HP EliteBook 830 G6,core i5/8th Gen,8gb RAM/256GB SSD,Warranty Shahra-e-Faisal, Karachi•4 weeks ago Call Chat",54000,Used,3,1,8,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,1,3,,0
"Hp ProBook 440 g6 Gulgasht Colony, Multan•3 days ago Call Chat",56000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Microsoft Surface 3 DHA Defence, Karachi•2 days ago Call Chat",12000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0
"Touch x360 Chromebook | Laptop |4GB/32GB| Best Price With Warranty Gulshan-e-Iqbal Town, Karachi•9 hours ago Call Chat",11999,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,1,0,0,0,9.0,0,0,5,1,1,,0
"Dell Latitude e7420 7000 series Corei5-11 Generation/Touch Screen Margalla Enclave, Islamabad•2 weeks ago Call Chat",72000,Used,3,1,0,,,0,0,0,15.6,0,0,0,0,1,0,0,0,,0,0,5,0,3,,0
"DELL LATITUDE MODELS ARE AVAILABLE! Heerabad, Hyderabad•2 days ago Call Chat",40000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"HP core i7 4th generation laptop 8gb ram 500gb Rom camera wifi DVD Blue Area, Islamabad•4 weeks ago Call Chat",31500,Used,4,1,4,8.0,500.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"laptop easy installment plan par hasil karen I.I. Chundrigar Road, Karachi•1 week ago Call Chat",8900,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0
"Dell Laptop Core i5 7th Gen – 8GB RAM | 256GB SSD (Fresh) 10% offer Sheikh Jana, Swabi•2 days ago Call Chat",37500,New,3,1,7,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Dell M4800 i7 Workstation – Modified GPU – Plug-in Use Only Khayaban-e-Quaid, Lahore•4 days ago Call Chat",45000,Used,4,1,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"HP Laptop i5 12th Gen | 8GB RAM | 512GB SSD |. Wapda Town, Lahore•10 hours ago Call Chat",78999,Used,3,1,12,8.0,512.0,2,0,0,15.6,0,0,0,0,0,0,1,0,10.0,0,0,5,0,3,,0
"HP EliteBook 840 G3 Core i5 16GB RAM 128GB SSD Gulberg Greens, Islamabad•1 day ago Call Chat",55999,Used,3,1,0,16.0,128.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Dell Latitude 5300 Touchscreen Rifah Aam, Karachi•2 days ago Chat",65000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,1,0,0,0,,0,0,5,0,3,,0
"HP Pavilion x360 m Convertible 14m-dw1023dx - Mint Condition Malir Cantonment, Karachi•5 days ago Call Chat",90000,Excellent,2,0,0,,,0,0,0,15.6,0,0,0,0,0,1,0,0,,0,0,9,0,3,,0
"Hp Elitebook | 845 G7 Ryzen 5 4650U | Hexa Cores | imported laptop Township, Lahore•1 week ago Call Chat",70000,Used,3,2,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Lenovo Legion Pro 7i Gaming Laptop 275HX - RTX5070 | 32/aTB BOX PACK Defence Road, Lahore•2 weeks ago Call Chat",8000,Used,2,0,0,,,0,3,1,15.6,0,0,0,1,0,0,0,0,,0,0,5,0,3,,0
"HP ProBook 445 G8 | Ryzen 5 5600U | 8GB RAM | 256GB SSD Satellite Town - Block D, Rawalpindi•1 week ago Call Chat",61000,Used,3,2,0,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"Microsoft surface pro 7+ Ghazi Road, Lahore•3 weeks ago Call Chat",72000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0
"Dell Inspiron 5593 | i5 10th Gen | 8GB | 256GB SSD |2GB NVIDIA|Laptop DHA Defence, Lahore•2 weeks ago Call Chat",60000,Used,3,1,10,,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0
"fujitsu core i5 2nd Gen | 4GB Ram with Ssd | 50% Instant Discount Cantt, Sialkot•5 days ago Call Chat",20000,Used,3,1,2,4.0,,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,1,,0
"Hp ProBook | 440 G4 Core i5 7th Generation | imported laptop Defence Raya, Lahore•1 week ago Call Chat",45000,Used,3,1,7,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Dell Latitude 5410 i5 10th Gen 8GB RAM 256GB SSD FHD Display Backlite! Saddar, Rawalpindi•2 weeks ago Call Chat",58500,Used,3,1,10,8.0,256.0,2,0,0,15.6,1,0,0,0,0,0,1,0,,0,0,5,0,3,,1
"Best Used Laptops & Chromebooks - Student & Gaming Wah Model Town - Phase 2, Wah•1 week ago Call Chat",10999,Fair,2,0,0,,,0,0,0,15.6,0,0,0,1,0,0,0,0,,0,1,5,0,1,,0
"Dell 5400 i5 8th Gen Touch Screen 8GB RAM 256GB SSD Bezzeless Display! Saddar, Rawalpindi•2 weeks ago Call Chat",52900,Used,3,1,8,8.0,256.0,2,0,0,15.6,0,0,0,0,1,0,1,0,,0,0,5,0,3,,0
"Getac Rugged Laptops & Tablets | TRL Pakistan Gulberg, Lahore•3 weeks ago Call Chat",70000,Used,2,0,0,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0
"Lenovo L390 i5 8th Gen 8GB RAM 256GB SSD FHD Touch Screen Display ! Saddar, Rawalpindi•2 weeks ago Call Chat",48900,Used,3,1,8,8.0,256.0,2,0,0,15.6,1,0,0,0,1,0,1,0,,0,0,5,0,3,,0
"Core i3 i5 i7 4th 5th 6th 7th 8th Generation Laptop - DELL HP LENOVO Thokar Niaz Baig, Lahore•4 weeks ago Call Chat",33000,Used,4,1,8,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
"Lenevo Laptop T540p | Core i5 4th Gen | Graphic Design & Gaming Laptop Gulshan-e-Iqbal, Karachi•4 weeks ago Call Chat",23500,Used,3,1,4,,,0,0,0,15.6,0,0,0,1,0,0,0,0,,0,0,5,0,1,,0
"Dell Latitude 3320 Core i7 11TH Gen 8GB DDR4 256GB Depalpur Road, Okara•1 week ago Call Chat",85500,Used,4,1,11,,,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0
