title,price,brand,model,condition,type,description,url,processor_tier,processor_brand,processor_generation,ram,storage,storage_type_score,gpu_tier,has_dedicated_gpu,screen_size,is_fullhd,is_4k,is_2k,is_gaming,is_touchscreen,is_2in1,has_ssd,has_hdd,battery_wh,is_new,is_used,condition_score,has_warranty,brand_premium,model_year,has_backlit,processor_score,storage_score,graphics_score,gaming_score,portability_score,features_score,capacity_score,age,age_factor,premium_spec_score
Mini Laptop for sale WORLDVISION-PC,10000.0,Dell,Inspiron,Used,Laptop,"Description processor: Intel (R) Atom (TM) CPU Z530  [redacted email address] GHz 
RAM.  1.00 GB
system Type.  32 Bit operating system 
Generic PnP Monitor 
Battery Timing 1.5 hr

For More Detail plz contact 
0/3/4/0/6/2/7/0/0/0/2",https://www.olx.com.pk/item/mini-laptop-for-sale-worldvision-pc-iid-1102828670,2,0,0,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0,6.0,5.12,0,8.0,7.800000000000001,0,9.736,,,24.56
Hp Pavilion 15 Gaming,10500.0,HP,Pavilion Series,Used,Laptop,"Description Core i5(H Series) 8th Gen
16gb ram, 128gb ssd m2, 1tb hdd
4gb Nvidea Gtx1050(Running almost all games of 2023-24)
Condition 9/10
Not a single fault

Price negotiable. 
Only serious buyer contact.",https://www.olx.com.pk/item/hp-pavilion-15-gaming-iid-1094849458,2,0,0,16.0,256.0,0,0,0,15.6,0,0,0,1,0,0,0,0,,0,0,5,0,3,,0,6.0,5.12,0,16.0,7.800000000000001,0,9.736,,,73.67999999999999
"Apple MacBook Air  – Core i5 | 4GB RAM | 128GB SSD |Screen-13.3""",35999.0,Apple,MacBook Air,Used,MacBook,"Description Model: MacBook Air 

Processor: Intel Core i5

RAM: 4GB

Storage: 128GB SSD (Super Fast)

Battery Health:  Excellent Health

Condition:  – Very Clean & Well Maintained

Extras: Original Apple Charger Included, Backlit Apple Logo

Ideal for browsing, study, light editing, and work

No issues, fully functional

Only Serious buyers

Apple Mac book air A1466,1565,1270. . . etc also available",https://www.olx.com.pk/item/apple-macbook-air-core-i5-4gb-ram-128gb-ssd-screen-133-iid-1103944922,3,1,0,4.0,128.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,5,,0,11.0,22.56,0,7.0,7.800000000000001,0,5.668,,,81.4
LATITUDE E5440 Core i5 4gen,31000.0,Dell,Latitude,Used,Business,"Description LATITUDE E5440
Core i5 4th gen 
8gb Ram 
128gb SSD
2gb Graphics Card 
Condition 10/9 With Charger 
Windows 10Pro installed",https://www.olx.com.pk/item/latitude-e5440-core-i5-4gen-iid-1105437295,3,1,0,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0,11.0,5.12,0,10.0,7.800000000000001,0,11.236,,,29.56
Apple Macbook Air 8 GB RAM/ 256 GB SSD,50000.0,Apple,MacBook Air,Used,MacBook,"Description Apple macbook air 

RAM 8 GB
SSD 256 GB

MAC OS Monterey

Only battery issue, battery is on service recommendation. This can be easily replaced from the market.",https://www.olx.com.pk/item/apple-macbook-air-8-gb-ram-256-gb-ssd-iid-1105184927,2,0,0,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,5,,0,6.0,25.12,0,6.0,7.800000000000001,0,6.5360000000000005,,,82.80000000000001
Hp elitebook 850 G5/G6,67000.0,HP,Elite Book,Used,Business,"Description – Slim, powerful, and reliable!

 Processor: Intel Core i5-8365U (8th Gen)
 Storage: 256GB SSD
 RAM: 8GB DDR4
 Display: 15” Full HD (1920x1080)
 Build: Premium aluminum chassis
 Battery: Long-lasting performance
 Security: Fingerprint scanner & TPM 2.0
With charger and 
 3-Day Refund Policy – Buy with confidence!

Location Bilal computers 2nd floor 55 no. Shop Hafeez centre Lahore 

 Available at @bilalcomputers_bc & [redacted email address] pk",https://www.olx.com.pk/item/hp-elitebook-850-g5g6-iid-1102610057,2,0,0,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0,6.0,5.12,0,8.0,7.800000000000001,0,9.736,,,73.67999999999999
Macbook air m3 16'' 32GB Ram 512GB SSD / Apple Mackbook,11000.0,Apple,MacBook Air,New,MacBook,Description Apple MacBook Air 2023 16in  i10 32GB RAM 512GB SSD MS Office-READ DESc,https://www.olx.com.pk/item/macbook-air-m3-16-32gb-ram-512gb-ssd-apple-mackbook-iid-1105436718,5,3,14,32.0,512.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,5,,0,42.0,30.240000000000002,0,18.0,7.800000000000001,0,28.472,,,395.6
Dell 3189 touch x360 chromebook fresh condition,12500.0,Dell,Others,New,Laptop,"Description Dell 3189 chromebook

Touch 360 rotate

Fresh Condition

Playstore built in. . . windows also supported

4gb Ram

32gb ssd

6 to 7 hour battery backup

12"" LED Screen

Hd camera

All ok

With charger",https://www.olx.com.pk/item/dell-3189-touch-x360-chromebook-fresh-condition-iid-1105436788,2,0,0,16.0,256.0,0,0,0,15.6,0,0,0,0,1,0,0,0,,0,0,5,0,3,,0,6.0,5.12,0,8.0,7.800000000000001,2,9.736,,,73.67999999999999
MacBook Pro 14” M4 Pro | 32GB Ram  | 1TB SSD | 10/10 Condition,11000.0,Apple,MacBook Pro,New,MacBook,Description MacbookPro 2.4GHz 8-core Intel Core I9 Intel UHD Graphics 32GB RAM 1TB SSD,https://www.olx.com.pk/item/macbook-pro-14-m4-pro-32gb-ram-1tb-ssd-1010-condition-iid-1105436823,2,0,0,32.0,1024.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,10,0,5,,0,6.0,40.480000000000004,0,12.0,7.800000000000001,0,20.744000000000003,,,241.20000000000002
Think pad X1 Yoga Gen 5.    i7 10thGen,98000.0,Others,Others,Used,Laptop,"Description Lenovo ThinkPad T14 Gen 1 “i7-10th Gen 32GB RAM 512GB SSD” 14 inch IPS Anti-glare Touch Screen Display

BEST PRICE OFFER's

Quick Specs:
10th Gen Intel Core i7 10th turbo boost up to 4.80Ghz
16GB RAM 2667 Mhz Memory LPDDR4X 
512GB SSD NVME Flash Storage
1920 x 1080 WUXGA Resolution
14-Inch Size Screen
IPS 400 Nits Anti-glare Screen Display
16GB Total Graphics Memory
Dolby audio (Speaker)

Package includes: 
• Original Charger 65W Type C

Office 2021 Pro Plus Activated life time (Activation)

Genuine Windows 10 Professional 

Photoshop, Premier Pro, Illustrator, Visual Packages, Direct X 12; Coral Draw etc. 

6 Month’s Laptop Warranty. 
Visit My laptop store For more Information. 

Office location : Sapphire Heights 02, H-13 Islamabad, Ground Floor (Flat 04). BEST PRICE OFFER's

Quick Specs:
10th Gen Intel Core i7 10th turbo boost up to 4.80Ghz
32GB RAM 2667 Mhz Memory LPDDR4X 
512GB SSD NVME Flash Storage
1920 x 1080 WUXGA Resolution
14-Inch Size Screen
IPS 400 Nits Anti-glare Screen Display
16GB Total Graphics Memory
Dolby audio (Speaker)

Package includes: 
• Original Charger 65W Type C

Office 2021 Pro Plus Activated life time (Activation)

Genuine Windows 10 Professional 

Photoshop, Premier Pro, Illustrator, Visual Packages, Direct X 12; Coral Draw etc",https://www.olx.com.pk/item/think-pad-x1-yoga-gen-5-i7-10thgen-iid-1105436828,4,1,10,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,1,,0,29.0,5.12,0,12.0,7.800000000000001,0,16.636,,,47.56
HP Pavilion 15 Ryzen 7-5800H RTX 3050 16GB RAM 512GB SSD,18500.0,HP,Pavilion Series,Used,Business,"Description It's HP Pavilion 15
*Ryzen 7 5800H
*RTX 3050
*144hadz 16inch display 
*RAM 16GB
*ROM 512GB SSD
*Color: Black with Purple KB lights
*Charger: Yes
All drivers installed and Window 11 Pro official updated. 
Best for Gaming. 
Fully Laminated, no scratches
I want to sell just for urgent need for money. Only serious buyers can call me.",https://www.olx.com.pk/item/hp-pavilion-15-ryzen-7-5800h-rtx-3050-16gb-ram-512gb-ssd-iid-1104230427,4,2,0,16.0,512.0,2,4,1,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0,16.0,30.240000000000002,30,28.0,7.800000000000001,0,14.272000000000002,,,111.36000000000001
Dell Precision 7510 | Core i7 | 8GB RAM | 256GB SSD,60000.0,Dell,Precision,Used,Business,"Description Dell Precision 7510 workstation laptop in 8/10 condition. 
 8GB RAM
 256GB SSD
 Core i7 Processor
Perfect for office work, designing, and daily use.",https://www.olx.com.pk/item/dell-precision-7510-core-i7-8gb-ram-256gb-ssd-iid-1105435806,4,1,0,8.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0,14.0,25.12,0,10.0,7.800000000000001,0,8.936,,,73.68
"Macbook M4 Pro 14.2 inch 24gb/1tb BLACK BOX PACKED, MX2J3 USA",67900.0,Apple,MacBook Pro,New,MacBook,"Description Highlights
Apple M4 Pro 12-Core Chip
24GB Unified RAM | 1 TB SSD
14″ 3024 x 1964 Liquid Retina XDR Screen
16-Core GPU | 16-Core Neural Engine
Wi-Fi 6E (802.11ax) | Bluetooth 5.3
Thunderbolt 5 | HDMI | MagSafe 3
SDXC Slot | 12MP Center Stage Camera
Backlit Magic Keyboard
Force Touch Trackpad | Touch ID Sensor
macOS
Warranty
1 Year International

DELIVERY DETAILS
WARRANTY POLICY
REFUND/RETURN/EXCHANGE
Description
Apple MacBook Pro 14″ MX2H3 M4 Pro 12-Core Chip 24GB Unified RAM | 512GB SSD Space Black Price in Pakistan
Performance
Processor	
Apple M4 Pro
CPU	
12-Core: 
Performance (8 Cores)
Efficiency (4 Cores)
Dedicated AI Cores	
Yes
Graphics Type	
Integrated
GPU	
Apple (16-Core)
Installed RAM	
24 GB
RAM Type	
Embedded DRAM
RAM Configuration / Capacity	
Onboard/Not Upgradeable
Display
Panel Type	
Mini-LED LCD
Display Size	
14.2″
Aspect Ratio	
16:10
Native Resolution	
3024 x 1964
Touchscreen	
No
Finish	
Glossy with Antireflective Coating
Maximum Brightness	
1000 nits / cd/m2 (Sustained in SDR Mode)
1600 nits / cd/m2 (Peak in HDR Mode)
Refresh Rate	
120 Hz
Contrast Ratio	
1,000,000:1
Variable Refresh Technology	
Apple ProMotion
Storage and Expansion
Total Installed Storage	
512 GB
Storage Drive Type	
1x 512 GB / Integrated NVMe SSD
Storage Expansion	
No
Inputs / Outputs
Inputs/Outputs	
3x USB-C (Thunderbolt 5) / Supports Video Alt Mode and Power Delivery
Display I/O	
1x HDMI
Audio I/O	
1x 1/8″ / 3.5 mm Headphone Output
Network I/O	
No
Built-In Speakers	
6 and Subwoofer
Built-In Microphones	
3
Media/Memory Card Slot	
Single Slot: SD/SDHC/SDXC
Communications
Wi-Fi	
Wi-Fi 6E (802.11ax) with MU-MIMO Support
Bluetooth	
5.3
Cellular Support	
No
GPS	
No
Webcam	
User-Facing: 12 MP (1080p)
Battery
Battery Chemistry	
Lithium-Ion Polymer (LiPo)
Capacity	
72.4 Wh
Keyboard & Mouse
Keyboard	
Built-In Chiclet-Style Keyboard with Backlight
Pointing Device	
Force Touch Trackpad
General
Security	
Fingerprint Reader
Power Supply	
70 W with Magsafe
Input Power	
100 to 240 VAC, 50 / 60 Hz
Operating Conditions	
50 to 95°F / 10 to 35°C up to 90% Humidity
Certifications	
ENERGY STAR
Dimensions	
12.31 x 8.71 x 0.61″ / 31.27 x 22.12 x 1.55 cm
Weight	
3.5 lb / 1.6 kg
Packaging Info
Package Weight	
6.51 lb
Box Dimensions (LxWxH)	
16.2 x 11.9 x 3.3″",https://www.olx.com.pk/item/macbook-m4-pro-142-inch-24gb1tb-black-box-packed-mx2j3-usa-iid-1102922334,2,0,0,16.0,1024.0,0,0,0,14.2,0,0,0,0,0,0,0,0,,0,0,5,0,5,,0,6.0,20.48,0,8.0,10.600000000000001,0,14.344000000000001,,,161.20000000000002
Dell Latitude i7 5th Gen|8GB RAM |128GB SSD Slim & Powerfull Laptop,34900.0,Dell,Latitude,Used,Laptop,"Description Intel Core i7 (5th Gen) – Reliable Performance

8GB RAM – Smooth Multitasking

128GB SSD – Super-Fast Speed & Storage

100% Battery Health – Long Backup

Original Charger Included

Ultra Slim & Lightweight – Easy to Carry Anywhere

Perfect for Office, Study & Travel",https://www.olx.com.pk/item/dell-latitude-i7-5th-gen8gb-ram-128gb-ssd-slim-powerfull-laptop-iid-1105265246,4,1,5,8.0,128.0,2,0,0,15.6,0,0,0,0,0,0,1,0,,0,0,5,0,3,,0,21.5,22.56,0,10.0,7.800000000000001,0,10.418,,,92.34
HP PROBOOK 645 Full ok 10 by 10,38500.0,HP,ProBook,Used,Chromebook,Description Hp probook 645 very good condition and with original charger 2 hours battery bakap,https://www.olx.com.pk/item/hp-probook-645-full-ok-10-by-10-iid-1105436450,2,0,0,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0,6.0,5.12,0,8.0,7.800000000000001,0,9.736,,,73.67999999999999
Precision 5520 - 9/10 - 03427153043,70000.0,Dell,Precision,Used,Business,"Description I7, 6TH GENERATION 
16GB RAM
256 M2 CARD
15.6'' DISPLAY - 4 GB NVIDIA M1200 GRAPHICS CARD
BATTERY HEALTH POOR BUT WORKS PERFECTLY WITHOUT CHARGER AND  TIMING IS ALSO GOOD
NOT ANY FAULT, BORDERLESS SCREEN, SCRATCHLESS, CONDITION IS NEAT",https://www.olx.com.pk/item/precision-5520-910-03427153043-iid-1105436453,2,0,0,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,9,0,1,,0,6.0,5.12,0,8.0,7.800000000000001,0,9.736,,,24.56
Apple MacBook Air - 16 Inch 32GB RAM | 1TB SSD,11000.0,Apple,MacBook Air,New,MacBook,"Description 16"" MacBook Air 2022 2.3GHz i5 32GB RAM 1TB SSD Sequoia Touch Space Gray Warranty Good",https://www.olx.com.pk/item/apple-macbook-air-16-inch-32gb-ram-1tb-ssd-iid-1105436460,2,0,0,32.0,1024.0,2,0,0,16.0,0,0,0,0,0,0,1,0,,0,0,5,0,5,,0,6.0,40.480000000000004,0,12.0,7.0,0,20.744000000000003,,,241.20000000000002
Dell Laptop | Intel Pentium | SSD + HDD | NumPad | Urgent Sale,9900.0,Dell,Inspiron,Used,Laptop,"Description For Sale: Dell Inspiron Series Laptop – Perfect for Students, Office & Basic Use
(PRICE- NEGOTIABLE)

 Processor: Intel Pentium [redacted email address] (Dual-Core – 1st Gen)  
 RAM: 4GB DDR3  
 Storage:  
  - 112GB Fast SSD (Windows boot on SSD – fast performance)  
  - 466GB Apple HDD for extra storage  
 Display: 15.6"" Screen  
 Keyboard: Full-sized with Numeric Keypad  
 Operating System: Fresh Windows Installed / Linux Ready  
 Build: Premium Blue Body, Solid Performance  
 Battery: Weak/Dead – Works only on charger  
 Condition: Used with minor wear (shown in pictures), 100% working

 Ideal For:  
 Students  
 Online Classes  
 Freelancers  
 MS Office / YouTube / Browsing  
 Learning Programming / Linux / Ethical Hacking

 NOTE: Charger included. Battery is not working — laptop runs fine on charger. No other issues. 

 Location: [Islamabad, I-14/3]  
  (View phone number)  Contact for final price and testing.",https://www.olx.com.pk/item/dell-laptop-intel-pentium-ssd-hdd-numpad-urgent-sale-iid-1104017209,2,1,0,16.0,256.0,2,0,0,15.6,0,0,0,0,0,0,1,1,,0,0,5,0,3,,0,8.0,25.12,0,8.0,7.800000000000001,0,10.336,,,79.67999999999999
ASUS ROG Strix (G532LWS) – Core i9-10980HK • 16GB RAM • Windows 11,26000.0,ASUS,,Used,Laptop,"Description Model: ASUS ROG Strix G532LWS

    CPU: Intel® Core™ i9-10980HK (8-core)

    RAM: 16 GB (15.8 GB usable)

    Storage: 1TB

    Graphics: RTX 2070 8GB]

    OS: Windows 11 Home (22H2), 64-bit

    Build: ROG Strix chassis Performance Laptop

What’s good

    Flagship Core i9—great for gaming, editing, CAD, and dev work
• Intel Core iH 2.3 GHz Processor, up to 5.1 GHz, 16 MB cache
• Discrete GPU: NVIDIA GeForce RTX 2070 Super with 8 GB GDDR6 VRAM
• Memory: 16 GB DDR4 3200 MHz
• Storage: 1 TB M. 2 NVMe PCIe 3.0
• Display: 15.6-inch Full HD 1920×1080 resolution, 300 Hz refresh rate
• Wi-Fi: Wi-Fi 6 (Gig+), 2×2, with RangeBoost
• USB Ports: 1x Type-C USB 3.2 Gen 2 with DP and G-Sync; 3x USB Type-A 3.2 Gen 1
• HDMI Ports: 1x HDMI
• Dimensions: 360 x 275 x 24.9 mm
• Weight: 2.57 kg
•

Included

    Laptop + [original charger]

Box and Asus Mouse

Notes

    No pen/touch input (standard display)

    Clean system, ready for a new owner",https://www.olx.com.pk/item/asus-rog-strix-g532lws-core-i9-10980hk-16gb-ram-windows-11-iid-1105056376,5,1,0,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0,17.0,5.12,0,14.0,7.800000000000001,0,13.036,,,106.68
Laptop | Lenovo Chromebook 300e Touchscreen | 4GB 32GB | 360 Rotatable,12999.0,Lenovo,Others,Used,Chromebook,"Description *** WELCOME TO LAPTEX LAPTOPS **

Fresh American/Imported Stock
Not Used Locally

 Brand: Lenovo
 Model 300E 2nd Gen
 Operating System: Chrome OS
 Display: 11.6″
 Processor: 1.6 GHz A_Series_Dual_Core_A4
 Memory: 4 GB DDR4
 Storage: 32 GB
 Battery life: 8 hours
 360 Rotatable
 Netflix
 Youtube
 Zoom App
 Best for Online Classes
 USB 3.0
 Combo Audio Jack
 Integrated Speakers Stereo
 Built-in microphone hole
 SD Card Slot for Transferring Data
 With Charger

>>> Warranty & Support:
* 7-Days Checking Warranty – Hassle-free & reliable purchase
!!! Order Now – Limited Stock Available!

> Call Now:  (View phone number) 
OR
> WhatsApp:  (View phone number) 
OR
> Visit Our Website 
https://laptexpc. com/product/lenovo-chromebook-300e/
!!! Nationwide Delivery Available – Get Yours Today!

#LenovoChromebook300e #TouchscreenLaptop #GorillaGlass #ConvertibleLaptop #TechDeals #ChromeOS",https://www.olx.com.pk/item/laptop-lenovo-chromebook-300e-touchscreen-4gb-32gb-360-rotatable-iid-1098699906,2,0,0,16.0,256.0,0,0,0,15.6,0,0,0,0,1,0,0,0,,0,0,5,0,3,,0,6.0,5.12,0,8.0,7.800000000000001,2,9.736,,,73.67999999999999
Lenovo ThinkPad T480 – Reliable & Powerful Laptop,50000.0,Lenovo,ThinkPad,Used,Business,"Description Lenovo ThinkPad T480 – Reliable & Powerful Laptop

Processor: Intel Core i5 (8th Gen- 8350U)
RAM: 8GB DDR4
Storage: 256GB SSD
Display: 14-inch Full HD (1920 x 1080)
Graphics: Intel HD Graphics 620
Keyboard: Backlit & Spill Resistant
Connectivity: Bluetooth, LAN, WiFi, HDMI, VGA Port, USB 3.0
RS 52000/-
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
Condition : Used (10/10)
Laptop Check Warranty: 7 Days
100% Original (Imported) & Tested Laptop
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
For More Details To Contact On Call | SmS | WhatsApp
Atta ur Rehman
https://wa. me/ (View phone number)  
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
Rawalpindi Office
shop 36, 2nd floor, TechnoCity II, 6th Road, Rawalpindi
Google Map location 
https://maps. app. goo. gl/r5nWcGucNyxPGHuaA
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
Follow this link to view our catalogue 
on WhatsApp: https://wa. me/c/ (View phone number)",https://www.olx.com.pk/item/lenovo-thinkpad-t480-reliable-powerful-laptop-iid-1096832369,2,0,0,16.0,256.0,0,0,0,15.6,0,0,0,0,0,0,0,0,,0,0,5,0,3,,0,6.0,5.12,0,8.0,7.800000000000001,0,9.736,,,73.67999999999999
