Title,Price,Description,Condition,Type,Material,URL
Bed set/wooden bed/luxury bed/Bed for sale/double bed,90000,"Description Bed set/wooden bed/luxury bed/Bed for sale/double bed/ imported bed set
we are selling complete bed set including bed with 2 side tables,big storage drawers. we are selling items because of shifting. 
No repair needed. 
Better to visit for more clarity
For more details contact here",Used,Bed Set,Wooden,https://www.olx.com.pk/item/bed-setwooden-bedluxury-bedbed-for-saledouble-bed-iid-1104258589
office chair  hadrulic,8000,Description office chair hadrulic. bilkul oky hein 2 lever hein,Used,Others,,https://www.olx.com.pk/item/office-chair-hadrulic-iid-1105435290
mattress,15000,Description 6 by 6 or 6 inch warranty card available,Used,King Bed,Foam,https://www.olx.com.pk/item/mattress-iid-1104198646
ragg justi,20000,"Description bhari/wazni 2 ragg hean siz 8×3.5
price 18000 finally
Lene khod aana hoga baldia town sector 9
0/3/4/5/2/8/4/4/8/4/3  نمبر بند ہونے کی صورت میں دوسرے دن کال کریں",,,,https://www.olx.com.pk/item/ragg-justi-iid-1104224360
home decoration bed sheets,3500,Description sub saman ke different price he is ke ilawa blanket bed sheets with wiky raziai dinner set nimko dish jug glass set tray dishes ptily pialiya plates salad k bowls plastic k lunch box cup glass unstitchd  clothes ladies gent's baby Suit socks gloves caps nightees trousers shirts blanket quran box hair curling machine makeup jewellery scarf obya second hand clothes ladies maxis scult sholder bag travel bags table plastic sheet flour plastic central qaleen chataiya chamchiya  food factory jis me,,,,https://www.olx.com.pk/item/home-decoration-bed-sheets-iid-1104756718
fries counter movable 03030075623,135,"Description fries counter movable
with all smaan. 
with 12 volt lighting
with 12. volt bettry
more info 
 (View phone number)",Used,Others,,https://www.olx.com.pk/item/fries-counter-movable-03030075623-iid-1105435311
L-shaped sofa with table,25000,Description L-shaped sofa with coffee table available for sale,Used,L Shaped,,https://www.olx.com.pk/item/l-shaped-sofa-with-table-iid-1105435320
mobile counter Argant sale,25000,"Description mobile counter for sale Argant 6ft 4ft2  2 piece 
abuo ja raha hn is ley sale kr raha hn",Used,Reception Counters,,https://www.olx.com.pk/item/mobile-counter-argant-sale-iid-1105435369
King Bed With 2 Side Tables Best Quality In Your Choice Colours,35000,Description King Bed With 2 Side Tables Best Quality In Your Choice Colours Classic Design,New,King Bed,Wooden,https://www.olx.com.pk/item/king-bed-with-2-side-tables-best-quality-in-your-choice-colours-iid-1101925151
EXACTIVE OFFICE TABLE,70000,"Description exactive office table UV sheet with side side rack l shape all size available 
contact.  (View phone number)",New,Executive Tables,,https://www.olx.com.pk/item/exactive-office-table-iid-1103981748
luxury drawing room sofa set,40000,"Description chesterfield, track arms curved and modular sofas 7 seater",Used,Sofa Set,,https://www.olx.com.pk/item/luxury-drawing-room-sofa-set-iid-1104227974
organizer + 75% lengthed mirror,15000,"Description Dark brown, tall and slender organizer with a lengthy mirror, multiple compartments and drawers with lock! 

گہرا بھورا، لمبا اور پتلا آرگنائزر جس میں ایک لمبا آئینہ، ایک سے زیادہ کمپارٹمنٹس اور دراز لاک کے ساتھ!",Used,Kids Wardrobes,,https://www.olx.com.pk/item/organizer-75-lengthed-mirror-iid-1105435382
Turkish Premium quality Rugs,36000,Description or now Whatsapp or inbox,New,,,https://www.olx.com.pk/item/turkish-premium-quality-rugs-iid-1105435386
Iron table used with cover ( best condition),12000,"Description large size 
3 adjusting options
for queries contact
 (View phone number)",Used,Iron Stands,,https://www.olx.com.pk/item/iron-table-used-with-cover-best-condition-iid-1105435409
Sofa for sale,80000,Description 10 by 10 condition without even a single scratch on it,Used,L Shaped,,https://www.olx.com.pk/item/sofa-for-sale-iid-1105240072
"Study Table ,Computer Table Laptop Table Office Table Working Table",3499,"Description SIZE: 3×2(3,499), 4×2(6,499)
MDF SHEET (A+QUALITY)
METAL FRAME
CABLE HOLES
FURNITURE PADS

MAKE YOUR OWN SIZE OF TABLES AND WORKSTATIONS ON CUSTOMER DEMANDS. 

FOR MORE DETAILS CONTACT ON WHATSAPP. 
 (View phone number)",New,Workstations,,https://www.olx.com.pk/item/study-table-computer-table-laptop-table-office-table-working-table-iid-1082349418
Blinds | Window Blinds | Zebra Blinds | Office Blinds | Roller Blinds,245,"Description WELCOME TO AKHTAR INTERIOR

1. office and Home Blinds
245/=

2. Curtains 
1450/=

3. Wallpaper's 
75/=

4. PVC/WPC
100/=

5. Vinyl Floor / Wood Floor
125/=


FOR MORE UP DETAILS CONTACT US",New,,,https://www.olx.com.pk/item/blinds-window-blinds-zebra-blinds-office-blinds-roller-blinds-iid-1104253313
Saloon Chair/ Barber chair/Adjustable salon chair/ Classic chair,18000,"Description Condition: Excellent – Used with care
Color: Black (Premium Leather Finish)
Features:

360° Rotation

Adjustable Height (Hydraulic Pump)

Soft Cushion Seat for Extra Comfort

Durable Steel Base – Long Life Guarantee


Perfect for salons, barber shops, or home use. No damage, no repairs needed – ready to use!",Used,Others,,https://www.olx.com.pk/item/saloon-chair-barber-chairadjustable-salon-chair-classic-chair-iid-1105096527
dining table set/dining chairs/dining set (manufacturers )(,46000,"Description structure purely shisham wood polish or cushion cover on demand
warranty foam demak or joints 10 years

Haider Ali",,,,https://www.olx.com.pk/item/dining-table-setdining-chairsdining-set-manufacturers-iid-1105435183
Sofa Sail,50000,"Description Sofa Set for Sale – Excellent Condition
3-seater + 2 chairs | Comfortable cushions | Hard wood frame
 Only 1 year used
 Neat & Clean
 No damages
 Location: Karachi. Gulshan e Iqbal block 6-- main university road karachi
 Demand: Rs.  50,000

Serious buyers contact inbox or WhatsApp:  (Chat with seller)",New,Sofa Set,,https://www.olx.com.pk/item/sofa-sail-iid-1105435185
1 week Salle,250,Description goladan brown collar discopainte,Used,L Shaped,,https://www.olx.com.pk/item/1-week-salle-iid-1105435188
New bed set urgent sale,40000,"Description 1 week pahly lia
Ha urjent sale
Larna ha 
New
Ha bilkul",New,Bed Set,Others,https://www.olx.com.pk/item/new-bed-set-urgent-sale-iid-1105435197
,5000,Description        .,New,,,https://www.olx.com.pk/item/-iid-1105435200
BRAND NEW BED,40000,"Description 1month use h Sirf 
bed 
2 side tables with dressing",Used,Bed Set,Others,https://www.olx.com.pk/item/brand-new-bed-iid-1105435212
"Sofa Set 1,2 & 3 seaters",75000,"Description Sofa set 1, 2 & 3 seaters. 
3 years used. Condition is very good. Never repaired. Dark Brown. Want to sell immediately. Reasonable price.",Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-12-3-seaters-iid-1105435226
4 doors wardrobe plus high capacity with up side,35000,Description urgent sale for house shifting,Used,Kids Wardrobes,,https://www.olx.com.pk/item/4-doors-wardrobe-plus-high-capacity-with-up-side-iid-1105435240
7 seater sofa for sale,75000,Description 7 Seater Sofa for sale,Used,Sofa Set,,https://www.olx.com.pk/item/7-seater-sofa-for-sale-iid-1105435243
bakery ke Saman ka counter hai argent seld 03122641644,50000,"Description urgent sale out karna hai do anmari hain ek jaise
 (View phone number)",Used,Others,,https://www.olx.com.pk/item/bakery-ke-saman-ka-counter-hai-argent-seld-03122641644-iid-1105435260
Tv table,20000,"Description In new condition, not damaged at all, used for 1 or 2 months.",,,,https://www.olx.com.pk/item/tv-table-iid-1105435267
Imported TV Trolley for Sale,30000,"Description A fancy solid marble top combined with high-quality wood work. 

As good as new. Buy it before its sold out. Price flexible. 

Contact on WhatsApp:  (View phone number)",Used,Others,,https://www.olx.com.pk/item/imported-tv-trolley-for-sale-iid-1105435269
Bed set,450,"Description Full luxury high quality turkish full bed set.   bed with control chart and storage. Without mattress
Only 6 month used. 
Time waster stay away.",Used,Bed Set,Wooden,https://www.olx.com.pk/item/bed-set-iid-1105332366
sofa set | Sofa Maker | sofa repairing | Fabric change | sofa poshish,2000,"Description ______ELITE FURNITURE______

Sofa And & Repair At your house in Reasonable Price. 

Sofa Poshish.  
Deewan poshish. 
setie poshish. 
Sofa cum Bed
Sofa reparing. 
Sofa Making. 
Sofa Lose cover. 
Cornor Poshsih
 
We provide best poshish  worker for work at your home on factory rate. 

For detail Call or Whatsapp
For any information You can Contact Us:",New,Sofa Set,,https://www.olx.com.pk/item/sofa-set-sofa-maker-sofa-repairing-fabric-change-sofa-poshish-iid-1104514977
Wallpaper | PVC Wall Panels | WPC Wall Panels | Window Blinds .,65,"Description Wallpaper

PVC Wall Panels

WPC Wall Panels

Window Blinds

Roof Ceilings

Wooden Floors

Vinyl Flooring

Decking Floors WPC Floors

Carpet Tiles

Artificial Patterns

Canvas Wall Pictures

PVC French Mouldings

Stainless Steel Bar

Moss Mat Hedges

Intex Stone Work

Paint and Polish Work

Wooden and Steel Work

Electrical and Plumbing Work

 Contact:  (View phone number)  /  (View phone number) 
 Website: www. bazauqinteriors. com

 Address: Shop No. 1-2, Ground Floor, Masood Arcade, Algery Center, IJP Road, Pandora, Rawalpindi",New,,,https://www.olx.com.pk/item/wallpaper-pvc-wall-panels-wpc-wall-panels-window-blinds-iid-1105302772
5 siter sofa set,35000,Description New h covers charha k rakhe hoye thae,Used,,,https://www.olx.com.pk/item/5-siter-sofa-set-iid-1105434952
Sofa For Sale 7 seaters,30000,Description Sofa For sale Saf sitri condition mai hai,Used,Sofa Set,,https://www.olx.com.pk/item/sofa-for-sale-7-seaters-iid-1105434976
Bed Room Chairs,25000,Description Slightly used. 06 months old. Made of pure wood. Reasonable price. Want to sell immediately.,Used,Others,,https://www.olx.com.pk/item/bed-room-chairs-iid-1105434993
Mirror dinning table with 6 chairs,50000,Description 6 chairs with dinning table,,,,https://www.olx.com.pk/item/mirror-dinning-table-with-6-chairs-iid-1105435001
SMD PARTY LIGHT,20500,"Description SMD PARTY LIGHT 7 COLOURS,
(BOX PACK)
UNLIMITED FUNCTIONS,
SPECIALLY USED FOR DJ NIGHT PARTY INDOOR OUTDOOR & NEW SHOP OPENING WEDDINGS EVENTS etc. . . . 
auto mode,
Manual Mode. 
DMX controller,
all colours flash system,
please contact Whatsapp for videos
0/3/0/6 0/4/2/0/7/79",New,,,https://www.olx.com.pk/item/smd-party-light-iid-1100828088
New Maroon Printed Curtains,1250,"Description condition new hai
2 pieces",Used,,,https://www.olx.com.pk/item/new-maroon-printed-curtains-iid-1105191199
Sofa Chairs 2 pieces,45000,"Description selling almost new condition 10/10 Sofa chairs 
color is Gray  barely 1 month in use",Used,2 Seater,,https://www.olx.com.pk/item/sofa-chairs-2-pieces-iid-1105435055
dressing table,15000,Description Assalam o alekum im selling my dressing table is me 3 drozen hain or ak cupboard hai condition 10 to 8 hai,Used,,,https://www.olx.com.pk/item/dressing-table-iid-1105435075
L Shaped Sofa For Sale,70000,Description L Shaped Sofa For Sale price  munasib price,Used,L Shaped,,https://www.olx.com.pk/item/l-shaped-sofa-for-sale-iid-1105435103
Table,10000,Description Center table 3'×3' in good condition urgent sale,Used,Center Tables,,https://www.olx.com.pk/item/table-iid-1099478901
Sofa set,15000,Description Six seater sofa set in good condition urgent sale,Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-iid-1099478948
6pcs dining table,30000,Description like new no damage no broken 1month he hua h purchase Kiye h passon ki urgent need hogye h jbhi sale krna h. only series buyer contact khud pick krna hoga,,,,https://www.olx.com.pk/item/6pcs-dining-table-iid-1103039916
wooden with glass table,3500,Description good condition urgently sale Karachi pickup Serious buyers contact me,,,,https://www.olx.com.pk/item/wooden-with-glass-table-iid-1104147438
Side Table With Shelves for Side Tables,1500,Description This is the table I bought a year ago and I used to keep my books and other decorations stuff.,,,,https://www.olx.com.pk/item/side-table-with-shelves-for-side-tables-iid-1104441157
Garden Chairs/outdoor chairs/chairs/Furniture/Lawn Chairs/Rattan Chair,40000,"Description We are manufacturing outdoor furniture. 
Unbreakable chairs providing unending relaxation. 
A best Gift you can give to your Garden . 

Garden Chairs:
Sturdy UPvc Structure
Imported Fabric
Waterproof (Easy to wash)
Easy to move
Durable and High Quality
Unique Color. 

Best For Garden, Patio, Terrace, Cafes, Coffee shops and Restaurants. 

Special Discount for Hotels and Restaurants For Bulk Quantity
Do contact for further  information 0/3/2/2/5/2/2/3/8/4/1",New,,,https://www.olx.com.pk/item/garden-chairsoutdoor-chairschairsfurniturelawn-chairsrattan-chair-iid-1104591111
Computer Table/Laptop Table/Study Table/Workstation,3399,"Description Length 3ft width 2ft Height 2.5ft Rs3400 (Footrest Variant)
Length 3ft width 2ft Height 2.5ft Rs4500(With Bottom Shelf)
Length 4ft width 2ft Height 2.5ft Rs6000 (With bottom shelf)
Colors Available:
Black, white, Wooden and dark brown 
White Frame Extra Charges Rs1000
Material
Metal frame with lamination sheet top sides pvc edge binding 1mm tape 
Delivery Service Available
Whatsapp  (View phone number)",New,Workstations,,https://www.olx.com.pk/item/computer-tablelaptop-tablestudy-tableworkstation-iid-1099858569
Glass door,10000,"Description Glass door 
green colour",Used,Others,,https://www.olx.com.pk/item/glass-door-iid-1105434830
"wallpapers, vinyle flooring, blinds and ceiling",101,"Description promotion 2500 rupees wallpaper role. 

we are selling & fitting gypsum roof / plastic of paris/ aluminium / dampa & other ceiling // cladding sheet / vinyl floor / wall paper/ artificial grass / wood floor and all kind of window blinds . . g
we are fitting at very reasonable price
our services are 100% free 
all products prices are negotiable 
for our services just call us on my contact nmbr
0300=9/6/8/3/2/3/0",Used,,,https://www.olx.com.pk/item/wallpapers-vinyle-flooring-blinds-and-ceiling-iid-1065214188
Dinning table with six chairs,55000,"Description Glass Dinning table with six chairs for sale. Premium quality Glass without any scratches, just like new . Chairs are also in very good condition.",,,,https://www.olx.com.pk/item/dinning-table-with-six-chairs-iid-1105434836
want to sale,50000,Description bed &  2side table  & dressing table,Used,King Bed,Wooden,https://www.olx.com.pk/item/want-to-sale-iid-1105434834
Marble Vanity/ Wash Basin,21000,"Description Hand made Marble Vanity/ Wash Basins for sale
Call/Whatsapp for Order",New,,,https://www.olx.com.pk/item/marble-vanity-wash-basin-iid-1081618097
sofa set 5 seating,15000,"Description New in condition 
cushion condition  10/10",Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-5-seating-iid-1104187070
